target,model_id,RMSE,MAE,R2
temp_furnace,StackedEnsemble_AllModels_1_AutoML_1_20241213_60834,0.009969513732777279,0.00537408913996525,0.9986240153790852
temp_furnace,StackedEnsemble_BestOfFamily_1_AutoML_1_20241213_60834,0.009538176530321496,0.005241921694567056,0.9987405053124155
temp_furnace,GBM_grid_1_AutoML_1_20241213_60834_model_1,0.014611941169884004,0.006295872518550093,0.9970441563512253
temp_furnace,GBM_2_AutoML_1_20241213_60834,0.019139572476544294,0.009263619262877158,0.9949285739940573
temp_furnace,DRF_1_AutoML_1_20241213_60834,0.012892578170575987,0.007394960568328008,0.9976988486982528
temp_furnace,GBM_5_AutoML_1_20241213_60834,0.01100309005397097,0.005159085534210461,0.9983239191546217
temp_furnace,GBM_4_AutoML_1_20241213_60834,0.01293666447922286,0.008029035749628252,0.9976830841678986
temp_furnace,GBM_3_AutoML_1_20241213_60834,0.016299173094405865,0.008620104770394784,0.9963221266337039
temp_furnace,XGBoost_3_AutoML_1_20241213_60834,0.012962017569190054,0.006427532987325055,0.9976739939521797
temp_furnace,XRT_1_AutoML_1_20241213_60834,0.014919146769990788,0.007952514024553117,0.9969185608153697
temp_furnace,GBM_grid_1_AutoML_1_20241213_60834_model_2,0.019192638796417215,0.009842507502616308,0.9949004129681753
temp_furnace,XGBoost_grid_1_AutoML_1_20241213_60834_model_3,0.017580822524988146,0.00665819863484769,0.9957209830411062
temp_furnace,XGBoost_grid_1_AutoML_1_20241213_60834_model_2,0.011566826372584257,0.005038842311756282,0.9981477736378518
temp_furnace,XGBoost_grid_1_AutoML_1_20241213_60834_model_1,0.01548192612085912,0.0057508068343299695,0.9966817002874488
temp_furnace,XGBoost_1_AutoML_1_20241213_60834,0.03208308669493051,0.017775043551543145,0.9857498998126503
temp_furnace,XGBoost_2_AutoML_1_20241213_60834,0.020416628995316113,0.013200962429593323,0.994229230842143
temp_furnace,GBM_1_AutoML_1_20241213_60834,0.043832989865386446,0.03204122593976429,0.9734008463503568
temp_furnace,DeepLearning_grid_3_AutoML_1_20241213_60834_model_1,0.04782397777145475,0.03229036554859082,0.9683366384687709
temp_furnace,DeepLearning_grid_1_AutoML_1_20241213_60834_model_1,0.07675703738670624,0.054386358229244265,0.9184353389743493
temp_furnace,DeepLearning_grid_2_AutoML_1_20241213_60834_model_1,0.05258628044569533,0.03852054366412363,0.9617165970589976
temp_furnace,DeepLearning_1_AutoML_1_20241213_60834,0.13088182605254073,0.1019764388825275,0.7628493500376825
temp_furnace,GLM_1_AutoML_1_20241213_60834,0.134527775289806,0.1123103011429208,0.7494528029366713
ni_out,StackedEnsemble_BestOfFamily_1_AutoML_2_20241213_61537,0.05963709611814443,0.030213509945385724,0.9945115902484588
ni_out,StackedEnsemble_AllModels_1_AutoML_2_20241213_61537,0.043977991551480515,0.019674461973339472,0.997015412377821
ni_out,GBM_2_AutoML_2_20241213_61537,0.05248541156203502,0.020059402330275138,0.9957490033314574
ni_out,GBM_grid_1_AutoML_2_20241213_61537_model_2,0.06624266874453001,0.022035943232017553,0.993228432811539
ni_out,GBM_4_AutoML_2_20241213_61537,0.0536278321746066,0.016417134817218116,0.9955619311668574
ni_out,DeepLearning_grid_3_AutoML_2_20241213_61537_model_1,0.1121661896399356,0.05098002553453555,0.980584996006447
ni_out,GBM_3_AutoML_2_20241213_61537,0.04018079109308038,0.015297172734739226,0.9975085595191265
ni_out,GBM_grid_1_AutoML_2_20241213_61537_model_4,0.04538522944228251,0.022835119984366284,0.9968213506540103
ni_out,GBM_grid_1_AutoML_2_20241213_61537_model_3,0.06824993662509089,0.03156621625078803,0.9928118347042348
ni_out,GBM_grid_1_AutoML_2_20241213_61537_model_1,0.04334818848890922,0.018150253144482785,0.9971002840544432
ni_out,GBM_grid_1_AutoML_2_20241213_61537_model_5,0.03245424386121279,0.01113950091119565,0.9983746139024817
ni_out,GBM_5_AutoML_2_20241213_61537,0.04937223728522082,0.013386525527386403,0.996238343233967
ni_out,DeepLearning_grid_2_AutoML_2_20241213_61537_model_2,0.1535671222671577,0.0644431328855275,0.9636076548713186
ni_out,DeepLearning_grid_2_AutoML_2_20241213_61537_model_1,0.11222747763671256,0.0793239257269865,0.9805637733583284
ni_out,DeepLearning_grid_3_AutoML_2_20241213_61537_model_2,0.15822369012999107,0.06887325776816994,0.9613671659505398
ni_out,GBM_1_AutoML_2_20241213_61537,0.13812959273338676,0.09469991791276325,0.9705566641284681
ni_out,DeepLearning_grid_1_AutoML_2_20241213_61537_model_1,0.22606099568438584,0.15911159615099676,0.9211385382514008
ni_out,DeepLearning_grid_1_AutoML_2_20241213_61537_model_2,0.194803273149777,0.09191373775021976,0.9414393282277351
ni_out,DeepLearning_1_AutoML_2_20241213_61537,0.5309528426789472,0.32688295290758723,0.5649637454939804
ni_out,GLM_1_AutoML_2_20241213_61537,0.5827959264904592,0.38881868009378895,0.47586089154818156
ni_out,DRF_1_AutoML_2_20241213_61537,1.122369045086018,0.35692838137511707,-0.9439491983058257
ni_out,XRT_1_AutoML_2_20241213_61537,1.1319755301597378,0.4268882840691917,-0.9773685762045932
c_out,GBM_5_AutoML_3_20241213_63412,0.004914599971686493,0.0017290042957317617,0.9974820085740524
c_out,StackedEnsemble_AllModels_1_AutoML_3_20241213_63412,0.006281086925491925,0.002972546537608816,0.9958871060939838
c_out,GBM_grid_1_AutoML_3_20241213_63412_model_5,0.007518726250465266,0.0031312392377757727,0.9941065928580154
